"","Drug","MSE_Mean","MSE_SD","RMSE_Mean","RMSE_SD","MAE_Mean","MAE_SD","R2_Mean","R2_SD","PEARSON_Mean","PEARSON_SD"
"MSE","5-Fluorouracil",0.00599804103632974,0.00179047264111734,0.0765907612037372,0.0121058449868851,0.0588343260384879,0.00715701931966807,0.0761122573012165,0.163906890529697,0.343924119751311,0.161808218256996
"MSE1","AZD7762",0.0173688595430926,0.00491753418609021,0.130496151326205,0.0194254710264856,0.105148596438335,0.0154953418934941,0.212642520107414,0.243725504641504,0.521763746753063,0.175468704852186
"MSE2","AZD8055",0.554893529072673,1.1701542059186,0.449128208512921,0.626433805486481,0.420987783718108,0.605673264637032,-Inf,NA,-0.333333333333333,1.15470053837925
"MSE3","Bortezomib",0.00565680634192829,0.00181163308474734,0.0743215349785179,0.0121616784461698,0.0595760951231808,0.00900526373842136,-0.00693435658682862,0.269286457075228,0.268634506323986,0.207978350435911
"MSE4","Crizotinib",0.00237199980984495,0.00113776165685706,0.0476243359780822,0.010745667472764,0.036804605371186,0.00482375924823963,-0.11646108900643,0.170536092503309,0.0890333267212651,0.202226664363942
"MSE5","Dasatinib",0.018521963898679,0.013078011966382,0.130706397723071,0.0399694535160885,0.101147106929886,0.0171449716654204,0.128354045443716,0.182250289622814,0.395705375355364,0.223943953631894
"MSE6","Erlotinib",0.00399257651029389,0.00176769694696523,0.0617484328958448,0.0141306422438473,0.0480703588502772,0.00991105857443988,0.0680327087422724,0.245134109533982,0.332840179974899,0.279905572477387
"MSE7","Gefitinib",0.00361039987598658,0.00212800791364036,0.0575996322796978,0.0180333714488255,0.0412833358067381,0.00963134803388033,0.101574673757953,0.233733646593693,0.498692391095494,0.204984147962824
"MSE8","Gemcitabine",0.0267337043529854,0.00722892844396638,0.162000852813268,0.0233197112798795,0.133959211401595,0.0199146611552173,0.170080895573509,0.252098508305176,0.477442016450848,0.203869739870271
"MSE9","JQ1 compound",1.31312053479783,1.76563129257546,0.928490251017996,0.750854836638185,0.928490251017996,0.750854836638185,-Inf,NA,NA,NA
"MSE10","Lapatinib",0.00766847449527563,0.00315600852343439,0.0859913627177577,0.017447063847812,0.0659745704087803,0.0118979458500331,0.12542606776046,0.197221303025983,0.464123473072428,0.15169399669469
"MSE11","MK-2206",0.00982280976649209,0.0032668485560299,0.0979635495316853,0.0158448284463602,0.0771314075045037,0.0106184997156533,-0.126179498883048,0.182711445732933,0.0837598913113347,0.172122500426316
"MSE12","Nilotinib",0.00318968462077194,0.00174159838505204,0.0548973761107559,0.0139826367298138,0.0416591199825988,0.00684062098144874,-0.205007011407974,0.290463992553842,0.0660854237033848,0.322548165023242
"MSE13","PLX4720",0.00391071798673012,0.0021321459728462,0.0606865416664722,0.0159116186512892,0.0427958243558645,0.00573443117066104,-0.226187372155471,0.479503254717944,0.247861618282402,0.241201170065477
"MSE14","Pictilisib",0.00956826151882994,0.00508537206268441,0.0951568469024626,0.0238848163394245,0.0769058786632381,0.016436969892944,-0.0782740809670554,0.169613649711482,0.141895884366331,0.220350882943095
"MSE15","Vincristine",0.0375376657733768,0.0142487437634481,0.191026404090583,0.0341008099219251,0.155923570498499,0.0330684067468329,0.284178044383881,0.216992090994893,0.574811466139037,0.162441777289285
"MSE16","Vorinostat",0.00424589566838069,0.00167324883151919,0.0642019524744039,0.0117381129874282,0.0518015453918124,0.00930327470352365,0.410630429631503,0.237033621798804,0.687188156854543,0.115344682876123
"MSE17","Paclitaxel",0.00310101961508651,0.00099914301225381,0.0551706821187474,0.00797325039245008,0.0418092398899415,0.00520006672055987,-0.0342457651947701,0.21928683470394,0.296454837354327,0.150026330523673
"MSE18","Dabrafenib",0.00937000478024631,0.00561104194253576,0.0930953559018189,0.0279535227308949,0.0663852670487683,0.0159269827584119,-0.0313360923986738,0.342071779578787,0.340836689484011,0.131306132903885
"MSE19","Ibrutinib",0.0124355540932633,0.00695299358201525,0.107708628560835,0.0304485983404344,0.0784610832556931,0.0155921316006121,-0.0173069396457581,0.436756012243746,0.402080806596181,0.180453013699957
"MSE20","Docetaxel",0.0164900923963182,0.00468798543333863,0.127342322536168,0.0174491415711362,0.102141520221372,0.0109411658021607,0.0305452802019517,0.182016993450406,0.327242538781335,0.125766358932884
