"","Drug","MSE_Mean","MSE_SD","RMSE_Mean","RMSE_SD","MAE_Mean","MAE_SD","R2_Mean","R2_SD","PEARSON_Mean","PEARSON_SD"
"MSE","5-Fluorouracil",0.00610524327655245,0.00189159498181554,0.0773251130637383,0.0118354536237782,0.0609318192192225,0.00761789289661465,0.0165253959696033,0.254530032124673,0.40244680748569,0.153800126319417
"MSE1","AZD7762",0.019469980469987,0.00508215795053839,0.138351552615,0.019114519176269,0.108939478137723,0.0170605696893792,0.139791336365461,0.204454378293071,0.493635686271294,0.12298681802319
"MSE2","AZD8055",1.20588768165521,1.65440451819467,0.792889667044785,0.800842374245752,0.735392188447256,0.75418454942653,-Inf,NA,-1,7.85046229341888e-17
"MSE3","Bortezomib",0.0057385078199114,0.00165431088205048,0.0750470340325148,0.0108755844202591,0.0612466838009132,0.00964529986452017,-0.0494803013004824,0.283332928073872,0.362006004730438,0.138822404704604
"MSE4","Crizotinib",0.00310624428239249,0.00197319260848618,0.053719845773401,0.0156497231950851,0.040761588683351,0.00941763210645789,-0.485303111205844,0.547075842888364,0.0113334547061723,0.317385416395032
"MSE5","Dasatinib",0.0197099534123895,0.0109238903577087,0.135965803566004,0.0368669329863836,0.105227115725086,0.0234745420445587,0.0256973596001984,0.280631798763969,0.419692283307773,0.200464673594281
"MSE6","Erlotinib",0.00406634246528213,0.00132408686184671,0.0630990643600896,0.0097097054631725,0.048785625964658,0.00771538966708273,0.0211918636348742,0.199909809656872,0.446293148303494,0.0915076543945254
"MSE7","Gefitinib",0.00407851581970108,0.00140527262616487,0.0629798535959717,0.0111581490266603,0.0467260465136259,0.00670827593386564,-0.102633693811623,0.529817966538171,0.450237496665386,0.184010486308959
"MSE8","Gemcitabine",0.0325896463884532,0.00825345142174279,0.179275085899873,0.0223629148380007,0.148704623057209,0.0154846921840008,0.00424162056280383,0.267961766886007,0.410432895821998,0.168595803627904
"MSE9","JQ1 compound",1.31312053479783,1.76563129257546,0.928490251017996,0.750854836638185,0.928490251017996,0.750854836638185,-Inf,NA,NA,NA
"MSE10","Lapatinib",0.0107227944298563,0.00448831723588646,0.101657608359641,0.0207772603384376,0.0768324749499735,0.0123696764240691,-0.327578786593034,0.543486186423518,0.226356230202424,0.276255166841761
"MSE11","MK-2206",0.00999466269490428,0.00411589270489957,0.0981428055193626,0.0200735431100754,0.0776177668564897,0.0135803321155576,-0.133721695711386,0.266797405848448,0.224750103711434,0.214505685190472
"MSE12","Nilotinib",0.00385380185527791,0.0021284077483045,0.0602702637031592,0.015680744328619,0.0458532590256808,0.00899194672018637,-0.533131776036299,0.39338146407009,0.0231778339643999,0.219892576582824
"MSE13","PLX4720",0.00494384430010455,0.00389719669978329,0.0666925463049826,0.0234745386290552,0.0475470770949385,0.0126234451502585,-0.456846459688404,0.540318881402892,0.19099614510418,0.199428349817995
"MSE14","Pictilisib",0.0116482915874128,0.003983299087151,0.106533903874215,0.0182214437997394,0.0839709883740724,0.0138961188859587,-0.389105883996361,0.433825064018598,0.122799982340713,0.135030302017436
"MSE15","Vincristine",0.0374572169799415,0.010710304881229,0.191699528022477,0.0280576378173555,0.155639339432223,0.0264794569665475,0.266285884501342,0.238189976676319,0.572716276161996,0.169171853550945
"MSE16","Vorinostat",0.00525177521857405,0.00126600152960247,0.0720207903682058,0.00848403555135586,0.0573632832976492,0.00704045610117385,0.303436897234025,0.118232289778526,0.616250285415973,0.0603454426699116
"MSE17","Paclitaxel",0.0038202073464734,0.0014274949215738,0.0608890923968266,0.0111915530430625,0.0469113551790758,0.00759415037852774,-0.200114433293565,0.238490860017861,0.222728786344203,0.218221051685414
"MSE18","Dabrafenib",0.00958732713619011,0.00341335347043059,0.0964624292300904,0.0177114803703982,0.0684989303050328,0.010473440719522,-0.551439951332991,1.29822492188455,0.320892583274605,0.266869861116246
"MSE19","Ibrutinib",0.0137545666441327,0.00677222761784228,0.113922663333095,0.0293672800395083,0.0853354812838074,0.0179220796299451,-0.159939120287372,0.590024969809856,0.442225107291884,0.168111154791431
"MSE20","Docetaxel",0.0161151613482471,0.00312898803786249,0.126404743748034,0.0123379318562684,0.100884995806882,0.0101196512498253,0.033075349667085,0.181913339248306,0.373694730753354,0.116739018776598
