"","Drug","MSE_Mean","MSE_SD","RMSE_Mean","RMSE_SD","MAE_Mean","MAE_SD","R2_Mean","R2_SD","PEARSON_Mean","PEARSON_SD"
"MSE","5-Fluorouracil",0.00676000658552979,0.00180885379105444,0.0815379272258967,0.0111341820651623,0.0642066509415996,0.0102884217177621,-0.0403901776010843,0.210696988873903,0.321671885318059,0.134936047199795
"MSE1","AZD7762",0.022181120350537,0.00494525116602655,0.148055248446277,0.0170216776183348,0.122058197157868,0.0180868118146802,-0.000883799433243082,0.205278009480437,0.368305362817068,0.145758961572995
"MSE2","AZD8055",10.5105989365429,15.997036600942,2.52664257521412,2.14130703430773,2.4453692385736,2.05777903576252,-Inf,NA,-0.333333333333333,1.15470053837925
"MSE3","Bortezomib",0.00693818944679981,0.00178994572121027,0.0826547876202526,0.0108717539344827,0.0650233040023323,0.00759836030408219,-0.238496638851583,0.325265458755722,0.1683392599345,0.162231949965621
"MSE4","Crizotinib",0.00236166683728857,0.00106518142980079,0.0476215569231631,0.010211875086416,0.0367496162808424,0.00513145084726681,-0.180123806246053,0.216974238420112,0.304177887411435,0.0823609758811434
"MSE5","Dasatinib",0.0196236012713747,0.00872022732158054,0.137253166857097,0.029536596115339,0.10553987540062,0.0189071243320751,0.0024898864068856,0.246077078649377,0.348789820904062,0.222230655306903
"MSE6","Erlotinib",0.00452979609799705,0.00133504185350457,0.0666219114940457,0.0100729013185873,0.0519874864324995,0.00864956915867877,-0.178947433725948,0.323892850776905,0.307308534960904,0.155304769659688
"MSE7","Gefitinib",0.00436053787521194,0.00314658427996182,0.063345789196032,0.0196595712156197,0.0474750030344052,0.0107703848661352,-0.206175800994323,0.47300479388372,0.447847798282473,0.130135323558313
"MSE8","Gemcitabine",0.0331056968947884,0.011359023353277,0.17954266150025,0.0310935791191498,0.149741737864181,0.0266512042867659,0.0237714911753898,0.264081118954346,0.388834270627716,0.186958846819228
"MSE9","JQ1 compound",0.118209350433057,0.144071808348557,0.294734956793919,0.197928824570676,0.294734956793919,0.197928824570676,-Inf,NA,NA,NA
"MSE10","Lapatinib",0.0102688181198695,0.00407255314032815,0.0996426411775556,0.0194411413425353,0.0768146435900188,0.0129863296394459,-0.237218880214637,0.418084510446956,0.306719919628439,0.197850378019267
"MSE11","MK-2206",0.0110708193349264,0.00392465932956074,0.103762206116876,0.0183854990167464,0.0816214720266565,0.015919153787984,-0.279571494798624,0.355777063491466,0.16091476839929,0.186122161188
"MSE12","Nilotinib",0.00354796989507003,0.00180443446998131,0.0582082470934806,0.0133237409400719,0.0452276314814687,0.00688704663826684,-0.397189892366899,0.38986607668392,0.0088139791083869,0.237323929206274
"MSE13","PLX4720",0.00534047826113447,0.00302955257511207,0.0707557734642079,0.0192670929196263,0.0503697288628467,0.0086127135813338,-0.796457656778838,0.901856561368503,0.0861453087683284,0.286037191606502
"MSE14","Pictilisib",0.0125997339927688,0.00353558253910201,0.111342629246219,0.0150019593278794,0.0865649360438637,0.00881127655411867,-0.488640156134918,0.375573802537988,-0.00897467884022669,0.163943138623819
"MSE15","Vincristine",0.04310548108362,0.00869483143769745,0.206583810988107,0.021822774068749,0.168438355911823,0.0180953715623266,0.168916888615911,0.190737479580432,0.511203632520781,0.121580515175132
"MSE16","Vorinostat",0.00466576140142993,0.00171679229378986,0.0672281578659185,0.0127425878840767,0.0551597467033117,0.0101121211799616,0.39639305170036,0.17128037465233,0.658525082465323,0.119893001383671
"MSE17","Paclitaxel",0.00411006486525184,0.000756607404558251,0.0638270180586648,0.00634005178656638,0.0507388980890382,0.00516190570190765,-0.473161562975402,0.609302463378548,0.0851657575371014,0.299070107913871
"MSE18","Dabrafenib",0.0128744448747216,0.00661212284662265,0.110173056219941,0.0286034682799756,0.0780389856093277,0.0140970115213687,-0.34935997773906,0.367008301178039,0.111823152385141,0.199256391885073
"MSE19","Ibrutinib",0.014369911714893,0.00622621332431037,0.117156596703909,0.0267549281784482,0.0858507710750731,0.0137984097103131,-0.168095863203592,0.379248014339492,0.31292341604719,0.180618174422078
"MSE20","Docetaxel",0.0186143458625682,0.005658082992744,0.135223798830089,0.0191157321052498,0.110593911784349,0.013039324011794,-0.0937425743847496,0.162435918152207,0.280996335683623,0.137380520685532
