"","Drug","MSE_Mean","MSE_SD","RMSE_Mean","RMSE_SD","MAE_Mean","MAE_SD","R2_Mean","R2_SD","PEARSON_Mean","PEARSON_SD"
"MSE","5-Fluorouracil",0.00680586045102931,0.00154114584067075,0.0820488545800735,0.00905820150945264,0.0624536018563165,0.00579928787829928,-0.048230398790407,0.0748763205826555,-0.0774241773021043,0.183765468050784
"MSE1","Bortezomib",0.00512039678292505,0.00169680758391493,0.0708192440503877,0.0108028522497367,0.0572745377969532,0.0067921480725252,0.0810299657909835,0.150535501317211,0.323273126898623,0.198248521683957
"MSE2","Crizotinib",0.00236177248871505,0.00126443351018531,0.0475100726241162,0.0107788624408173,0.0367970051984783,0.0041428788009313,-0.191106586048065,0.285986127911869,0.0202106746815641,0.260952779133395
"MSE3","Erlotinib",0.00338396755088625,0.00141976983270942,0.0570488318077614,0.0119906602661311,0.0435176311611022,0.0067257876575753,0.200091235726551,0.205098857792622,0.515608356467608,0.146673205477077
"MSE4","Gefitinib",0.0033404406786684,0.00138342554491057,0.0566945131580873,0.0118402729152045,0.0403887319514739,0.00725589316210365,0.176414096769953,0.166974338880681,0.516678122422875,0.0867021964386478
"MSE5","Gemcitabine",0.0294308988786645,0.00677264639299575,0.170531081653399,0.0197216482516681,0.141778292845904,0.0162042698479251,0.112886427098131,0.161197534908385,0.368397694738999,0.218432594785887
"MSE6","Lapatinib",0.00829861720770044,0.0031577024457959,0.0897468681364781,0.0164693947603173,0.0674394200393777,0.00811235514517824,-0.00242946319494104,0.414323813645423,0.396813234357143,0.236524753172205
"MSE7","Nilotinib",0.00272084042972497,0.00143850195000551,0.0509482225684987,0.0117907236059015,0.0396740278160623,0.00471075342960859,-0.0478305248674477,0.148263762698725,0.207043065812924,0.165128715705866
"MSE8","Vincristine",0.0419240321292817,0.0115921803391955,0.203218951362462,0.0263752817030388,0.16821183765295,0.0258734169122688,0.200701407264076,0.165680151723057,0.462039450714591,0.163737117478663
"MSE9","Vorinostat",0.00488985426088717,0.00119884701071111,0.0694377574698541,0.00870836752432755,0.0538321881585716,0.00626368459023849,0.360246837316985,0.105671312480291,0.627935848209239,0.0731573425259332
"MSE10","Paclitaxel",0.00282957422010114,0.000975886441895638,0.0524957515443208,0.00905356221471163,0.0407730782849589,0.00618279250864778,0.0868965351140449,0.163674728509682,0.376333692636291,0.193093799186189
"MSE11","Dabrafenib",0.0103313749030305,0.00589487472690352,0.0982075472831546,0.0276215004753236,0.0639461171757626,0.0121176226932814,-0.140380260793305,0.274649749460736,0.230298631030892,0.148077040984295
"MSE12","Ibrutinib",0.0118329226088628,0.0066831329284865,0.105302937699218,0.0287559447144284,0.0756721333659059,0.0166113909187537,0.0934495048067417,0.323647276264201,0.425604589648631,0.271286946801683
"MSE13","Docetaxel",0.0152365092095305,0.00375263052187429,0.122589274714113,0.0152161805179053,0.0976819887454646,0.0123136435643626,0.0898380343896215,0.234804755163226,0.349224331511617,0.266078783745183
